system_id,family,dimension,condition_exponent,epsilon,seed,J_binary_hex,DeltaJ_binary_hex,A_guarded_binary_hex,b_binary_hex,z_tilde_hex,zg_tilde_hex,delta_direct_hex,forcing_tilde_hex,delta_response_hex,finite
SPD_D02_C06_E1eM16,SPD,2,6,1e-16,7794877774274524974,"[[""0x1.0000000000000p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.0c6f7a0b5ed8dp-20""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.0c6f7a0bd223ap-20""]]","[""-0x1.6666666666666p-1"",""-0x1.ad7f29abcaf48p-22""]","[""-0x1.6666666666666p-1"",""-0x1.999999999999ap-2""]","[""-0x1.6666666666666p-1"",""-0x1.99999998e9ad9p-2""]","[""0x0.0p+0"",""0x1.5fd8200000000p-35""]","[""0x1.42d169d7dfa03p-54"",""0x1.70ef54646d497p-55""]","[""0x1.42d169d7dfa03p-54"",""0x1.5fd7fe16ff2bcp-35""]",True
SPD_D02_C06_E1eM15,SPD,2,6,1e-15,17628145585040437798,"[[""0x1.0000000000000p+0"",""-0x1.4f8b588e368f1p-17""],[""-0x1.4f8b588e368f1p-17"",""0x1.0c765943554ecp-20""]]","[[""0x1.203af9ee75616p-50"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.203af9ee75616p-50""]]","[[""0x1.0000000000005p+0"",""-0x1.4f8b588e368f1p-17""],[""-0x1.4f8b588e368f1p-17"",""0x1.0c765947d63aap-20""]]","[""0x1.3333b96af038ep-1"",""-0x1.ad7fd997ca005p-18""]","[""0x1.3333333333333p-1"",""-0x1.9999999999992p-2""]","[""0x1.3333333333351p-1"",""-0x1.99999992ba69dp-2""]","[""0x1.e000000000000p-49"",""0x1.b7cbd40000000p-32""]","[""-0x1.59e05f1e2674dp-51"",""0x1.cd2b297d889b4p-52""]","[""0x1.e9fba55c9c1efp-49"",""0x1.b7cc4d3da40a8p-32""]",True
SPD_D02_C06_E1eM14,SPD,2,6,1e-14,8214231739146521320,"[[""0x1.0000000000000p+0"",""0x1.4f8b588e368f1p-17""],[""0x1.4f8b588e368f1p-17"",""0x1.0c765943554ecp-20""]]","[[""0x1.6849b86a12b9bp-47"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.6849b86a12b9bp-47""]]","[[""0x1.000000000002dp+0"",""0x1.4f8b588e368f1p-17""],[""0x1.4f8b588e368f1p-17"",""0x1.0c7659705e85dp-20""]]","[""-0x1.333461309c800p-1"",""-0x1.cf0ea4c034aa3p-18""]","[""-0x1.3333333333333p-1"",""-0x1.cccccccccccccp-1""]","[""-0x1.3333333333628p-1"",""-0x1.cccccc7f7db91p-1""]","[""-0x1.7a80000000000p-44"",""0x1.353c4ec000000p-27""]","[""0x1.b05876e5b0120p-48"",""0x1.4442592c440d8p-47""]","[""-0x1.7a4cb6ae41c30p-44"",""0x1.353c4f03345d8p-27""]",True
SPD_D02_C06_E1eM12,SPD,2,6,1e-12,16830576898471770375,"[[""0x1.0000000000000p+0"",""-0x1.4f8b588e368f1p-17""],[""-0x1.4f8b588e368f1p-17"",""0x1.0c765943554ecp-20""]]","[[""0x1.19799812dea11p-40"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.19799812dea11p-40""]]","[[""0x1.0000000001198p+0"",""-0x1.4f8b588e368f1p-17""],[""-0x1.4f8b588e368f1p-17"",""0x1.0c766adaeecffp-20""]]","[""0x1.333482be8bc17p-2"",""-0x1.d5c4cd61e398fp-19""]","[""0x1.3333333333334p-2"",""-0x1.ffffffffffff6p-2""]","[""0x1.3333333347deep-2"",""-0x1.ffffde722022bp-2""]","[""0x1.4aba000000000p-38"",""0x1.0c6efee580000p-21""]","[""-0x1.51c51ce3718e2p-42"",""0x1.19799812dea0cp-41""]","[""0x1.4abb0ae0b36c6p-38"",""0x1.0c6efee634624p-21""]",True
SPD_D02_C06_E1eM8,SPD,2,6,1e-8,4700767032875647822,"[[""0x1.0000000000000p+0"",""0x1.4f8b588e368f1p-17""],[""0x1.4f8b588e368f1p-17"",""0x1.0c765943554ecp-20""]]","[[""0x1.5798ee2308c3ap-27"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.5798ee2308c3ap-27""]]","[[""0x1.0000002af31dcp+0"",""0x1.4f8b588e368f1p-17""],[""0x1.4f8b588e368f1p-17"",""0x1.0f258b1f9b604p-20""]]","[""0x1.66657b84db9c7p-1"",""0x1.a6c7f9281d741p-18""]","[""0x1.6666666666666p-1"",""-0x1.6666666666667p-1""]","[""0x1.666663d6ec299p-1"",""-0x1.62d9f89aea5e3p-1""]","[""-0x1.47bd1e6800000p-24"",""0x1.c636e5be04200p-8""]","[""-0x1.e1094d643f784p-28"",""0x1.e1094d643f785p-28""]","[""-0x1.47bd1e6813ceap-24"",""0x1.c636e5be04733p-8""]",True
SPD_D02_C08_E1eM16,SPD,2,8,1e-16,7930080439161776160,"[[""0x1.0000000000000p+0"",""-0x1.0c6f7a0b5ed8dp-19""],[""-0x1.0c6f7a0b5ed8dp-19"",""0x1.57bc1d560b1f7p-27""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""-0x1.0c6f7a0b5ed8dp-19""],[""-0x1.0c6f7a0b5ed8dp-19"",""0x1.57bc1d8fb084ap-27""]]","[""0x1.333368e31868bp-1"",""-0x1.4445590961e2dp-20""]","[""0x1.3333333333333p-1"",""-0x1.9999999999a39p-1""]","[""0x1.33333333333c4p-1"",""-0x1.99999954e1740p-1""]","[""0x1.2200000000000p-46"",""0x1.12e0be4000000p-27""]","[""-0x1.14b37f4b51f71p-54"",""0x1.70ef54646d526p-54""]","[""0x1.1f2629e940a5ap-46"",""0x1.12e0a34ec81bap-27""]",True
SPD_D02_C08_E1eM15,SPD,2,8,1e-15,13666721563256398758,"[[""0x1.0000000000000p+0"",""0x1.0c6f7a0b5ed8dp-19""],[""0x1.0c6f7a0b5ed8dp-19"",""0x1.57bc1d560b1f7p-27""]]","[[""0x1.203af9ee75616p-50"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.203af9ee75616p-50""]]","[[""0x1.0000000000005p+0"",""0x1.0c6f7a0b5ed8dp-19""],[""0x1.0c6f7a0b5ed8dp-19"",""0x1.57bc1f9681135p-27""]]","[""0x1.333339e92fd9ep-1"",""0x1.42641e79e96cdp-20""]","[""0x1.3333333333333p-1"",""0x1.9999999999bb7p-4""]","[""0x1.33333333333e1p-1"",""0x1.999996ea6a1fep-4""]","[""0x1.5c00000000000p-46"",""-0x1.5797cdc800000p-27""]","[""-0x1.59e05f1e2674dp-51"",""-0x1.cd2b297d88c1ep-54""]","[""0x1.5d7997bd206a9p-46"",""-0x1.5797ddab4a65bp-27""]",True
SPD_D02_C08_E1eM14,SPD,2,8,1e-14,17696088028531801888,"[[""0x1.0000000000000p+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.57a1b9efc95a9p-27""]]","[[""0x1.6849b86a12b9bp-47"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.6849b86a12b9bp-47""]]","[[""0x1.000000000002dp+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.57a1d07464e13p-27""]]","[""-0x1.33331bb63eebdp-1"",""-0x1.3e5d3405059d3p-21""]","[""-0x1.3333333333333p-1"",""0x1.6666666666663p-1""]","[""-0x1.3333333331a5cp-1"",""0x1.66664ee9725b1p-1""]","[""0x1.8d70000000000p-41"",""-0x1.77cf40b200000p-21""]","[""0x1.b05876e5b0120p-48"",""-0x1.f86735614d6a1p-48""]","[""0x1.8d714ef156ea8p-41"",""-0x1.77cf40f19983bp-21""]",True
SPD_D02_C08_E1eM12,SPD,2,8,1e-12,17204118294971870143,"[[""0x1.0000000000000p+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.57a1b9efc95a9p-27""]]","[[""0x1.19799812dea11p-40"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.19799812dea11p-40""]]","[[""0x1.0000000001198p+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.57aa85bc89f18p-27""]]","[""-0x1.ccccda38c61a3p-1"",""-0x1.e554de712a621p-21""]","[""-0x1.ccccccccccccdp-1"",""-0x1.999999999997bp-2""]","[""-0x1.cccccccd22c5dp-1"",""-0x1.998f1d851770ep-2""]","[""-0x1.57e4000000000p-35"",""0x1.4f829044da000p-15""]","[""0x1.faa7ab552a552p-41"",""0x1.c25c268497660p-42""]","[""-0x1.57e429ed22dc3p-35"",""0x1.4f829047710cbp-15""]",True
SPD_D02_C08_E1eM8,SPD,2,8,1e-8,13436459373671532285,"[[""0x1.0000000000000p+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.57a1b9efc95a9p-27""]]","[[""0x1.5798ee2308c3ap-27"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.5798ee2308c3ap-27""]]","[[""0x1.0000002af31dcp+0"",""0x1.0c6f7a0b5ed8dp-20""],[""0x1.0c6f7a0b5ed8dp-20"",""0x1.579d5409690f2p-26""]]","[""0x1.fffff94a03595p-2"",""0x1.0be6062765551p-21""]","[""0x1.0000000000000p-1"",""-0x1.99999999998bcp-4""]","[""0x1.fffffc4f1a585p-2"",""-0x1.99991361dda93p-5""]","[""-0x1.d872d3d800000p-25"",""0x1.999a1fd1556e5p-5""]","[""-0x1.5798ee2308c3ap-28"",""0x1.12e0be826d600p-30""]","[""-0x1.d872d3ddb3817p-25"",""0x1.999a1fd15599cp-5""]",True
SPD_D02_C10_E1eM16,SPD,2,10,1e-16,15728502274935074776,"[[""0x1.0000000000000p+0"",""-0x1.ad7f29abcaf48p-24""],[""-0x1.ad7f29abcaf48p-24"",""0x1.b7d93feb3f2c4p-34""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""-0x1.ad7f29abcaf48p-24""],[""-0x1.ad7f29abcaf48p-24"",""0x1.b7d95cbdf1c42p-34""]]","[""-0x1.fffffca501acbp-2"",""0x1.ad11335bd024cp-25""]","[""-0x1.0000000000000p-1"",""-0x1.ffffffffffdfcp-2""]","[""-0x1.ffffffffffc7cp-2"",""-0x1.ffffde7212d14p-2""]","[""0x1.c200000000000p-45"",""0x1.0c6f687400000p-21""]","[""0x1.cd2b297d889bcp-55"",""0x1.cd2b297d887ebp-55""]","[""0x1.c2cf56bec33d4p-45"",""0x1.0c6f6a362276dp-21""]",True
SPD_D02_C10_E1eM15,SPD,2,10,1e-15,266195556703456573,"[[""0x1.0000000000000p+0"",""-0x1.ad7f29abcaf48p-23""],[""-0x1.ad7f29abcaf48p-23"",""0x1.b7fb06d4891e0p-34""]]","[[""0x1.203af9ee75616p-50"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.203af9ee75616p-50""]]","[[""0x1.0000000000005p+0"",""-0x1.ad7f29abcaf48p-23""],[""-0x1.ad7f29abcaf48p-23"",""0x1.b7fc270f830c7p-34""]]","[""-0x1.9999943b35e11p-4"",""0x1.576ceea259e92p-26""]","[""-0x1.999999999999ap-4"",""-0x1.9999999999443p-4""]","[""-0x1.9999999996146p-4"",""-0x1.99988d2acba66p-4""]","[""0x1.c2a0000000000p-43"",""0x1.0c6ecd9dd0000p-20""]","[""0x1.cd2b297d889bdp-54"",""0x1.cd2b297d883bap-54""]","[""0x1.c294aaabcf6f7p-43"",""0x1.0c6ecda488de5p-20""]",True
SPD_D02_C10_E1eM14,SPD,2,10,1e-14,7993264266710751955,"[[""0x1.0000000000000p+0"",""-0x1.ad7f29abcaf48p-24""],[""-0x1.ad7f29abcaf48p-24"",""0x1.b7d93feb3f2c4p-34""]]","[[""0x1.6849b86a12b9bp-47"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.6849b86a12b9bp-47""]]","[[""0x1.000000000002dp+0"",""-0x1.ad7f29abcaf48p-24""],[""-0x1.ad7f29abcaf48p-24"",""0x1.b7e48239027cdp-34""]]","[""-0x1.3333312fcdce0p-2"",""0x1.0170b86a49afap-25""]","[""-0x1.3333333333333p-2"",""-0x1.33333333333dbp-2""]","[""-0x1.3333333325fe7p-2"",""-0x1.332b56229ba1fp-2""]","[""0x1.a698000000000p-39"",""0x1.f74425e6f0000p-16""]","[""0x1.b05876e5b0120p-49"",""0x1.b05876e5b020dp-49""]","[""0x1.a697ae422b46dp-39"",""0x1.f74425ed2a134p-16""]",True
SPD_D02_C10_E1eM12,SPD,2,10,1e-12,5414176322249737425,"[[""0x1.0000000000000p+0"",""0x1.ad7f29abcaf48p-24""],[""0x1.ad7f29abcaf48p-24"",""0x1.b7d93feb3f2c4p-34""]]","[[""0x1.19799812dea11p-40"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.19799812dea11p-40""]]","[[""0x1.0000000001198p+0"",""0x1.ad7f29abcaf48p-24""],[""0x1.ad7f29abcaf48p-24"",""0x1.bc3f264b8aa6cp-34""]]","[""0x1.99998d85393a6p-3"",""0x1.560d11031b713p-26""]","[""0x1.999999999999ap-3"",""-0x1.ccccccccccc9ep-1""]","[""0x1.9999997af9bcep-3"",""-0x1.c83cd4e77cab9p-1""]","[""-0x1.e9fdcc0000000p-31"",""0x1.23fdf95407940p-7""]","[""-0x1.c25c268497682p-43"",""0x1.faa7ab552a51ep-41""]","[""-0x1.e9fdcb1a83c24p-31"",""0x1.23fdf95405dd1p-7""]",True
SPD_D02_C10_E1eM8,SPD,2,10,1e-8,15894068073190789212,"[[""0x1.0000000000000p+0"",""0x1.ad7f29abcaf48p-23""],[""0x1.ad7f29abcaf48p-23"",""0x1.b7fb06d4891e0p-34""]]","[[""0x1.5798ee2308c3ap-27"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.5798ee2308c3ap-27""]]","[[""0x1.0000002af31dcp+0"",""0x1.ad7f29abcaf48p-23""],[""0x1.ad7f29abcaf48p-23"",""0x1.5b08e430b1d5ep-27""]]","[""-0x1.ccccc6c29c9d3p-1"",""-0x1.825a8c76a5264p-23""]","[""-0x1.ccccccccccccdp-1"",""0x1.ccccccccccb74p-1""]","[""-0x1.ccccc6849c61cp-1"",""0x1.23fc7a2ee600fp-7""]","[""0x1.920c1ac400000p-23"",""-0x1.c83cdae4111f4p-1""]","[""0x1.353cd652bb168p-27"",""-0x1.353cd652bb080p-27""]","[""0x1.920c1ac410856p-23"",""-0x1.c83cdae41120ep-1""]",True
SPD_D04_C02_E1eM16,SPD,4,2,1e-16,15704206836761994310,"[[""0x1.0000000000000p+0"",""0x1.47ae147ae147bp-6"",""0x1.0624dd2f1a9fcp-9"",""0x1.0624dd2f1a9fcp-10""],[""0x1.47ae147ae147bp-6"",""0x1.001a36e2eb1c4p+0"",""0x1.10a137f38c543p-10"",""0x1.0b630a91537a0p-10""],[""0x1.0624dd2f1a9fcp-9"",""0x1.10a137f38c543p-10"",""0x1.47d805e5f30e8p-7"",""0x1.a9b8cb8e086bep-13""],[""0x1.0624dd2f1a9fcp-10"",""0x1.0b630a91537a0p-10"",""0x1.a9b8cb8e086bep-13"",""0x1.47e06961c3697p-7""]]","[[""0x1.cd2b297d889bcp-54"",""0x0.0p+0"",""0x0.0p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x1.cd2b297d889bcp-54"",""0x0.0p+0"",""0x0.0p+0""],[""0x0.0p+0"",""0x0.0p+0"",""0x1.cd2b297d889bcp-54"",""0x0.0p+0""],[""0x0.0p+0"",""0x0.0p+0"",""0x0.0p+0"",""0x1.cd2b297d889bcp-54""]]","[[""0x1.0000000000000p+0"",""0x1.47ae147ae147bp-6"",""0x1.0624dd2f1a9fcp-9"",""0x1.0624dd2f1a9fcp-10""],[""0x1.47ae147ae147bp-6"",""0x1.001a36e2eb1c4p+0"",""0x1.10a137f38c543p-10"",""0x1.0b630a91537a0p-10""],[""0x1.0624dd2f1a9fcp-9"",""0x1.10a137f38c543p-10"",""0x1.47d805e5f3122p-7"",""0x1.a9b8cb8e086bep-13""],[""0x1.0624dd2f1a9fcp-10"",""0x1.0b630a91537a0p-10"",""0x1.a9b8cb8e086bep-13"",""0x1.47e06961c36d1p-7""]]","[""0x1.09930be0ded29p-1"",""0x1.d243dccea28fep-1"",""0x1.83d287f7b0a62p-8"",""0x1.0568f58cdf76fp-11""]","[""0x1.0000000000000p-1"",""0x1.ccccccccccccdp-1"",""0x1.999999999999ap-2"",""-0x1.999999999999cp-4""]","[""0x1.0000000000000p-1"",""0x1.ccccccccccccdp-1"",""0x1.9999999999951p-2"",""-0x1.999999999994ep-4""]","[""0x0.0p+0"",""0x0.0p+0"",""-0x1.2400000000000p-48"",""0x1.3800000000000p-50""]","[""-0x1.cd2b297d889bcp-55"",""-0x1.9f0d3ef0faf29p-54"",""-0x1.70ef54646d497p-55"",""0x1.70ef54646d499p-57""]","[""-0x1.7d8829c11992cp-55"",""-0x1.8d05c8a6c4957p-54"",""-0x1.2071c57011f11p-48"",""0x1.3b2fae907769fp-50""]",True
