dataset,system_id,family,dimension,condition_exponent,epsilon,seed,U_legacy,U_source_z,U_source_zg,U_binary_z,U_binary_zg,U_sub,U_source_r1,U_binary_r1,error_source_direct,error_binary_direct,error_source_z,error_source_zg,error_binary_z,error_binary_zg,error_subtraction,source_drift_z,source_drift_zg,arithmetic_error_z,arithmetic_error_zg,source_coverage,binary_coverage,source_severe_undercoverage,binary_severe_undercoverage,source_parent_z_coverage,source_parent_zg_coverage,binary_parent_z_coverage,binary_parent_zg_coverage,subtraction_coverage,eta_source_reference,eta_binary_reference,relative_U_source_r1,relative_U_binary_r1,source_reference_label,binary_reference_label,maximum_reference_relative_residual,finite
development,SPD_D02_C06_E1eM16,SPD,2,6,1e-16,7794877774274524974,3.580361673005382e-15,0.0000000000444089209850340171925608925146411465354010645,0.0000000000255910790124736230309417563112400803131735784,2.22044604925142330387188821506582872420045601e-17,6.82905267994744086219217813711053905817180987e-18,1.7901808365026910726444633831177901877245398e-16,0.0000000000700001790155912904926099132722195386275934153,2.0805159682273078116535739859954784507263035e-16,9.14349665244860101186450233560964506443786612e-17,2.90335131724471571443241574339229887717670064e-17,4.9650683064945459941545406328950479034403517e-17,4.46760574114405343035343441767175172982800667e-17,2.220446049250313080847263336181640625e-17,6.82905267994402633585152407210658252176700644e-18,0.0,4.44089209850062616169452667236328125e-17,3.92736817020044088953676518156060380058800398e-17,2.220446049250313080847263336181640625e-17,6.82905267994402633585152407210658252176700644e-18,True,True,False,False,True,True,True,True,True,0.0000000000496138938307979643679734650803132941755416143,0.0000000000496139307822234592598744497223084973533157607,0.000000000086824536253959449797856689864939659009694159,2.58056245927684190014497884625395469988338263e-16,RESOLUTION_LIMITED,OBSERVABLE,0.0,True
development,SPD_D02_C06_E1eM15,SPD,2,6,1e-15,17628145585040437798,3.664712969248665e-15,0.0000000000222086793515651061189960942631309297827437545,0.0000000000914627758441801754759026504099523448447166477,0.00000000000400424724031083559091662605443435880672803473,0.00000000000712452908833242890075599116390657775556661135,1.60118641674835951665443383175486688734732136e-16,0.000000000113671615314386956430850410116466450114149137,0.0000000000111289364472849393276242826617241120489833808,1.68397922063597491086778962754401996415620244e-15,9.80320078624561437818082702657023715717129652e-16,4.22468673165542442417972240575483722911104512e-16,1.26398354396600507490346846578322981377486457e-15,9.57929894451356966532604504293390218519900757e-17,8.846345404798519949426100996830571474634264e-16,0.0,3.26682881464735244517110549772462188902628367e-16,3.85405263769102153244222171459519701398167724e-16,9.57929894451356966532604504293390218519900757e-17,8.846345404798519949426100996830571474634264e-16,True,True,False,False,True,True,True,True,True,0.000000000554691875187632006263491836691036234072566677,0.000000000554690901356863651514711229605362614641546835,0.000000000157634168300323011169255613932950170525272801,0.0000000000154330580777176544410870204741202280088916289,TRANSITION,OBSERVABLE,0.0,True
development,SPD_D02_C06_E1eM14,SPD,2,6,1e-14,8214231739146521320,4.803559234356574e-15,0.0000000000222053486753305451278216810405197549669950629,0.0000000000222796810422480057676330351721621866288782696,0.0000000000367565276761943142591197144789366174266585353,0.000000000002932835230395239191936277926545124446060225,2.40177961717828760068221682478808123119282544e-16,0.0000000000444852698955402687242147844343644204039964518,0.0000000000396896030845512712798160606271642206808418796,1.2477987377447959091674518067658285647063635e-16,2.01139704292530522510889704774641917951027901e-16,9.15513359704447482428115691271769854863648958e-17,3.55975026536139905713918966284951103738508129e-17,1.46096976475382392727233040693131136389217578e-16,3.38595339961800455567229277660432337950588377e-16,0.0,2.30674638945918670358396201185853407867061191e-16,3.11420925700249562116990546971907463803707917e-16,1.46096976475382392727233040693131136389217578e-16,3.38595339961800455567229277660432337950588377e-16,True,True,False,False,True,True,True,True,True,0.00000000832044739051674176093039499653486609278896662,0.00000000832044746503531123876831584489057003810435233,0.0000000000411266465669807747808935237923755454494055052,0.0000000000366930510318367549023213824878715473328006766,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C06_E1eM12,SPD,2,6,1e-12,16830576898471770375,2.869101836908249e-15,0.0000000000444033698744846130039227782856861758132661814,0.0000000000134657190084933354428732660546029635065901225,0.0000000000227499890152248045311137542521444389794325292,0.00000000000844893017645621238080341961482720408807790523,1.29473093382964000284489831096001786300382009e-16,0.0000000000578692183560713314107963288301202353216426043,0.0000000000311990486647743998759174583568027390692967349,9.73076878748937822560925118800252001173802569e-17,1.77434604302436322588959264096073233478297816e-16,5.56885036039764912987269192776361696333543342e-16,4.77071905517405580708363290462983875829516412e-16,1.70694185274141030124200187203735665070345437e-16,3.43945293242618703363874196708592913425174247e-16,0.0,3.86547573890165512108141011531036331731086954e-16,1.33134877813410463803146566886087501523885033e-16,1.70694185274141030124200187203735665070345437e-16,3.43945293242618703363874196708592913425174247e-16,True,True,False,False,True,True,True,True,True,0.000000857486923305950301373129957840839806422499005,0.000000857486922872230376758619368861583156953242753,0.0000000000992448907136913452395267097595828591727632006,0.000000000053505927038010920100139828102194131545730596,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C06_E1eM8,SPD,2,6,1e-8,4700767032875647822,6.426400213346453e-11,0.0000000000444095871262207771149005332976218595208620758,0.0000000000429182223673014107887615068210151116172466678,0.0000000000207561920689935214518795404924659199223216335,0.0000000000616200950556868835362457425013517155878724623,2.19269516387289324348600981577514803541475992e-16,0.0000000000873280287630385751929863887196185486529122851,0.0000000000823765063941967922774496315947992130249976373,1.15244200203389204997408568350793041297603663e-15,6.70602044093761241264250138602229820884825421e-16,8.00593208497344231559904874078291913408755092e-17,1.21982488469413372374891513229860657511339517e-15,2.9051835421040016009941500695302822832917853e-16,3.84610824053128685105828835543744165856851045e-16,0.0,3.57172946992466732870178589034334291932613947e-16,8.39724921823429341291852434643141468148086682e-16,2.9051835421040016009941500695302822832917853e-16,3.84610824053128685105828835543744165856851045e-16,True,True,False,False,True,True,True,True,True,0.00700112725045986824685207056836211196921425142,0.00700112725045937855433652900023668441051594083,0.000000000088214630465712066085842337152111033200376904,0.0000000000832128375454193290862441738685185999422083684,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C08_E1eM16,SPD,2,8,1e-16,7930080439161776160,1.7675768486212243e-14,0.00000000221690665829635068050236388957417881666643032,0.0000000136065019588884771875880631429452030714249945,0.00000000459737417191183705561713672885890120498375969,0.00000000522603452900878529623419477889694211984704726,2.2204460421449282086104715171260611056210502e-16,0.0000000158234088392294320825832478935665336006975354,0.00000000982340892296522656634415236880299503743691751,0.0000000000000119658133238912611904743489317735843491426237,1.05249737806701880527295278122977209615856884e-16,0.0000000000000176969689425449158771525613272341529005753671,5.7338026716206131198506107441178149066576045e-15,8.56137927895380180711165272710292480089290274e-15,8.59919785985472256138749189325195765234463813e-15,0.0,9.13573022959513707441199048129159783844722355e-15,2.86807568620456037337847087436118400177731669e-15,8.56137927895380180711165272710292480089290274e-15,8.59919785985472256138749189325195765234463813e-15,True,True,False,False,True,True,True,True,True,0.00000000799998792001600100052031671401054576486576606,0.00000000799999992256620390004935411687200265025757085,0.0000000158234088392294320825832478935665336006975354,0.00000000982340892296515463117827907701717033850052337,RESOLUTION_LIMITED,RESOLUTION_LIMITED,0.0,True
development,SPD_D02_C08_E1eM15,SPD,2,8,1e-15,13666721563256398758,1.3361721544518584e-14,0.00000000221894336239749023426131246832550512172946351,0.0000000104052683517965949891247455598038359350467422,0.000000000573611508501945382012783489538789341960983392,0.00000000214655584626120083331210634607833637112457596,1.35064460106770398001174063829751722576551189e-16,0.0000000126242118492585453301564560293034048865279282,0.00000000272016748982760632209528783679118954283728193,7.0560988204003311266872674577946748492172831e-15,6.16796941642227599882009560049008195414877231e-15,7.51346712951204775327618053861390532402544491e-15,0.0000000000000145694298576066421468216717522119389723933285,1.61388593140866444240695026743940508878751822e-16,6.32927238364551106295672999419587068438044239e-15,0.0,7.67473862379134636296151721407216942107662024e-15,0.0000000000000208984574578186504801993660253091160269257923,1.61388593140866444240695026743940508878751822e-16,6.32927238364551106295672999419587068438044239e-15,True,True,False,False,True,True,True,True,True,0.0000000164396998078119178799085455645851012439819667,0.0000000164396780683913252571819820705093614936676966,0.0000000207540764354639665805768059151701266624673616,0.00000000447192780628613338366429542062676782213210365,RESOLUTION_LIMITED,TRANSITION,0.0,True
development,SPD_D02_C08_E1eM14,SPD,2,8,1e-14,17696088028531801888,1.0508134170930926e-14,0.00000000222040830167046115918251090450594344904648839,0.00000000131324899103055748143544160294505335052429007,0.00000000353817769178030816953073935960762035913923707,0.00000000311058328621191036346095564107324893583257995,2.04714951654709044984662941880366928396905203e-16,0.00000000353365749741597029532699749211393867993770686,0.00000000664876118270717018770073998534381117533874541,7.06098759554738861885146808178410501174274837e-15,6.5729470962193819818916399491359439547510782e-15,3.7812833677378423860323146285805246305832739e-16,6.68351881972326936593270319243086848932794793e-15,1.18292253538800603939253350810593929910682376e-15,5.39064217785641624944869841236252570438517007e-15,0.0,8.05025285488866864823049118421240901276664454e-16,1.29307840420942404854025456008322290888348973e-15,1.18292253538800603939253350810593929910682376e-15,5.39064217785641624944869841236252570438517007e-15,True,True,False,False,True,True,True,True,True,0.000000759256493900562321078529248205693247929645017,0.00000075925649337121237801050116446951538215932314,0.00000000383278969344386637628778879464853233933195041,0.00000000721159403645787667440371478885223633761044388,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C08_E1eM12,SPD,2,8,1e-12,17204118294971870143,9.90550657612019e-15,0.00000000222027618512982709596035998318911483226315673,0.00000000505043441174187397192385360556939295195606204,0.00000000115039825485980894326285593703255103733706239,0.000000000420519432017530859241593512136330066328171719,2.18686770565172041729250409054485133201205183e-16,0.00000000727071081555847163305625531800891683870435197,0.00000000157091790556411036767649117841929015815036731,0.0000000000000184036326374367690775910809167845854441665508,0.0000000000000103826654833261010394005366826585090042160662,1.69878634867014827732688973400533234643097811e-15,0.00000000000001670492410616961106725454972289982955375177,4.08516003745088800227912958897621631302353143e-15,6.29752048290587555863885249561244006608513044e-15,0.0,2.38674061330749486957363048208909389550802431e-15,0.0000000000000104074316724522695892890334802269043657812817,4.08516003745088800227912958897621631302353143e-15,6.29752048290587555863885249561244006608513044e-15,True,True,False,False,True,True,True,True,True,0.0000406096942547838206189370699606720064120586253,0.0000406096942466398643873103123373287855120227912,0.00000000738228834437282193047223263756446221364463948,0.00000000159502547115425455179867799113352503021997268,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C08_E1eM8,SPD,2,8,1e-8,13436459373671532285,2.2479699275649545e-15,0.000000000000307547157101289246591033052944542849535851948,0.00000000197791182044024699200242031796953483478025595,0.000000000287864629494509739809264355772033322553349026,0.000000000602322680550301461746630266575878421846142252,1.12264345523250531895291806188121203820543838e-16,0.00000000197821947986169380449954324631428556575099562,0.000000000890187422309156724806426517639717932520695099,6.35877501472897093864899079694990763543532191e-15,5.42059747930604438736258678115443367280684205e-15,3.075317778211683616973459720611572265625e-15,3.28357250157814111343084859379015783756622235e-15,4.2270559236828239665999824856289115395235466e-15,1.19359557450859583158272577240229239374781889e-15,0.0,1.15174075503566156265421030810921944157077705e-15,2.08998051020681574930981023190916442829846221e-15,4.2270559236828239665999824856289115395235466e-15,1.19359557450859583158272577240229239374781889e-15,True,True,False,False,True,True,True,True,True,0.098058557859435254612778700588610322594763869,0.0980585578594333720257943996038900166499259149,0.00000000387960758845544067250104395393339612891173476,0.00000000174580116811894202791410198994102288851815534,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C10_E1eM16,SPD,2,10,1e-16,15728502274935074776,3.1401841323221337e-15,0.0000000000286437683600672795677133447195476260700973997,0.000000899166688705557399074922471498033858013708486,0.000000263149257518207282029613162120528802963655277,0.000000135989550610475064837929565263635252889262808,1.57009206616101793693372405617370985439672848e-16,0.000000899195332630926672970591978536125811257149569,0.00000039913880828569155348364452107753646147028907,0.0000000000000499750922016608507684799716119487555299327176,4.02486821808129302101964841222668630324161519e-17,0.0000000000000286437540353290387429296970367431640625,0.0000000000000213314467912278683868755612461514634614115533,9.20815413462340361216262844043845684807149277e-15,9.20294609333698049535765168111685202073893253e-15,0.0,0.0000000000000194356553204308803226635418133297525721446354,0.0000000000000305342887017658044172964407709015242629853116,9.20815413462340361216262844043845684807149277e-15,9.20294609333698049535765168111685202073893253e-15,True,True,False,False,True,True,True,True,True,0.000000707106144791084394572994006354925830444671012,0.000000707106074123085651479882527626630158675970425,0.00000127165423462924296805273631558284804694134549,0.000000564467515947070634572998934895995903864459882,RESOLUTION_LIMITED,TRANSITION,0.0,True
development,SPD_D02_C10_E1eM15,SPD,2,10,1e-15,266195556703456573,2.0009850431808452e-14,0.0000000555490820009045090661906999931815673771029876,0.000000141054183915932334621325065109433681823526949,0.000000033544648338888146548870013506753248704912626,0.0000000528364751301884330950877540449659987426503156,3.14017706699014673236299704064186548879396428e-17,0.000000196603265948238614357417232426245219607048592,0.0000000863811235004783503138592348753492178539815964,1.49293447290591683403854475402727393197258129e-15,0.0000000000000235326946617887955234987821945674374300625889,0.0000000000000189653856305571590710512461741108006164692246,0.0000000000000174725854978806248687760701398211897509220087,3.92752858740260269679463720196211025406114856e-15,0.0000000000000196051666334787200963992056869528861389891616,0.0,0.0000000000000150378578231466046424670214197195923472398562,0.0000000000000370777467751665417226845968631593485962124532,3.92752858740260269679463720196211025406114856e-15,0.0000000000000196051666334787200963992056869528861389891616,True,True,False,False,True,True,True,True,True,0.00000707099851609401823693395753218440144089770599,0.00000707099867194009288572189240053261422187039106,0.00000139019502555421771769938419091169808847823641,0.000000610806781937054749362198937399436548299389473,TRANSITION,OBSERVABLE,0.0,True
development,SPD_D02_C10_E1eM14,SPD,2,10,1e-14,7993264266710751955,4.064348150754193e-14,0.000000111031617233695246779538049838352148946346353,0.000000199658114977961302809084641096947250348330412,0.000000157916055534523288383924877226259063400737176,0.00000027051380283189391328364242023862395484500284,9.42031926467948709690551083236600623987964196e-17,0.000000310689732305859742235417561904354507618336828,0.000000428429858460620394314362168433938126569400078,0.0000000000000221213064358488386288369762895936131569366255,0.0000000000000197100255591800532879819140925389029640635041,9.31477779294970178806653776872836014331260765e-15,0.0000000000000314360821768358623863604599265594074202070797,5.60862655375515204205015034609795619925775038e-15,0.0000000000000253186411180364639622162875949971371722309997,0.0,3.70616981867477728629523186639856103481163751e-15,6.11745327566209609501767113094329375761578367e-15,5.60862655375515204205015034609795619925775038e-15,0.0000000000000253186411180364639622162875949971371722309997,True,True,False,False,True,True,True,True,True,0.0000707036148282400944862937898725428119831568174,0.0000707036148225562102728145256440753674084264326,0.000000732302721861688633959983431843401247433296149,0.00000100981886060098519371930466672346665983898025,OBSERVABLE,OBSERVABLE,0.0,True
development,SPD_D02_C10_E1eM12,SPD,2,10,1e-12,5414176322249737425,3.094925769057215e-14,0.000000111027498306273206349431783186419196691740524,0.000000136404748684929845754634805261689611723560167,0.0000000813964858663036329181531458021129976310798953,0.0000000102983711630681205364479736099364936848305526,2.03749374321343608224311409652618282636203152e-16,0.000000247432247194952426425410196672420218067918973,0.0000000916948572331211277759447276363609009685287305,0.0000000000000121310345642383715732042315528066269594197303,5.24630001380623686551052928935908349346137756e-15,5.19585561658929445793227835238491540481515797e-15,0.0000000000000173268582825545189198786015614142184623416231,0.0000000000000146402228977991165106248316930323202375714679,0.0000000000000198865158723903610561615387306151518223060459,0.0,0.0000000000000198360646105130602750242100931487484827594541,0.0000000000000372133716004261808352872953849941683597590086,0.0000000000000146402228977991165106248316930323202375714679,0.0000000000000198865158723903610561615387306151518223060459,True,True,False,False,True,True,True,True,True,0.00966521863244557764671912390067525089864672217,0.00966521863246462897037072714386845714035987093,0.000000268377953315499671378569211186297103888776779,0.000000099457036795988501812825443905588624641928625,OBSERVABLE,OBSERVABLE,0.0,True
